f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,label
3.5006032,-3.2595901,-5.6724896,6.447331,1.6850408,-0.9560677,0.29398453,-4.366403,1.4429562,-1.775454,3.3016684,0.9829444,-0.60548925,-0.35678595,0.79591477,-1.2715261,2.5484653,-1.655472,-0.89666754,2.4112554,3.0283275,0.506149,-1.4613838,-1.9004952,-0.9966967,0.5763082,-2.0579066,-1.3152732,-1.5008038,-1.3307803,-1.0252498,-1.0758773,0.6420981,-1.265329,1.4322904,0.92474306,-0.18376492,-1.4233861,-0.5253843,0.040185954,0.442769,0.047447156,-2.3392286,1.8906333,1.0666567,-1.3169875,-2.186048,0.73647285,1.5663378,-0.2637849,0
2.5470917,-2.953208,-3.6108363,2.7190404,0.299245,-2.4199512,-3.8431916,1.0124568,0.46650648,-2.3687632,-0.53112304,1.4701205,-1.9184545,3.5230608,-4.4776397,0.94076043,1.5850655,-2.1768408,0.4806627,-0.98074067,-1.1243149,1.1024277,-1.6361312,-1.0853013,3.0726888,4.3268957,0.8737913,1.8936841,0.0969056,-0.24382992,0.87284034,-0.27515852,0.17288066,-0.6652091,0.12505312,-1.8875006,0.40105495,0.076615274,-0.9693678,0.48561454,0.9854439,-1.0427339,1.580781,1.138815,2.362345,-0.6871429,0.14072879,0.72522616,-0.43740034,-1.0005612,0
0.5326175,-0.0069669043,1.4387203,2.677613,2.7057552,-3.8057013,-7.3060017,2.7175915,-2.3524814,-1.5774826,2.2860217,2.026326,-3.4536805,2.6852138,-2.4960604,-0.185685,0.884089,-1.9619033,1.3788579,0.5302847,-1.0259064,-0.1999397,-0.29433402,-2.6774352,0.2896135,0.6404995,-1.1270465,-2.1448135,1.5906643,0.35920826,0.9235467,-0.43764946,1.4223105,-0.27169394,0.036237493,0.5743898,1.4070735,-1.2470902,2.2414525,0.9700761,-1.3833997,0.6349306,0.89549226,0.39893222,-1.4153516,-0.8694305,-0.014137765,0.9325977,-1.6166399,0.82789,0
4.9158874,-0.5756882,-2.2459812,6.998944,6.9324327,-0.31966764,1.8496497,-3.5856302,-0.14682363,2.88921,-2.4401553,4.3701053,-2.6756144,-0.090246186,-2.3373673,-2.1560557,-0.7481521,-2.0943947,0.9432865,0.34685457,-0.001524593,0.9546023,-4.340199,1.7440426,-2.476831,-2.0657663,0.8644564,-0.99706084,2.6797626,-1.0887713,-1.7936671,-1.3542764,-0.95197237,0.048650127,2.2637851,2.307145,-0.10598752,-0.059074093,0.55650824,0.4640515,-2.782986,-0.5815311,0.44774377,0.903455,0.16670984,-0.5572083,1.0546492,1.018141,2.053694,0.37472296,0
-3.7248564,-4.432846,-2.81971,4.740982,-1.6082429,-5.139114,-1.0812815,0.15870538,1.3361316,0.16609721,-1.0106415,1.2482042,4.1138773,1.2559347,1.2550275,-2.2769828,-0.72332,-1.0501506,1.9792588,1.849582,2.33424,1.0898478,-0.4050817,0.097545,-1.3905305,-0.09914657,-1.1986972,-1.5053886,1.8958403,-0.5292818,2.4340465,-0.61247987,-0.7326066,-1.8899983,-1.8749796,2.0281363,1.2926612,1.9643536,0.58276325,-2.082007,0.46598658,3.3565624,-0.00523136,2.0586944,1.7439233,-0.8878043,0.09836173,1.2601361,0.36763632,0.50518966,0
6.281248,-5.40585,3.957458,0.71227086,-1.6692542,0.37259874,-1.868775,2.8544827,-0.2636346,0.9527356,-2.5940485,-1.0311791,-0.095856935,-1.6925594,1.0336078,-0.73769933,1.56154,0.6471425,2.1403215,-1.3650963,-1.064582,-0.2348136,0.13702397,-0.72539884,2.316716,-0.24822615,1.402001,-2.749956,0.88904506,-0.22584473,0.4594997,2.104761,1.6166682,-2.2177896,-0.06489418,1.4188409,0.3511259,-1.295966,-0.62759787,0.5441235,0.6182381,0.23199068,0.45552263,-0.22051205,0.12826839,-0.37235507,1.7497269,-0.5906679,0.09183809,-0.16271326,0
5.892599,-3.537949,-2.8256116,2.6252964,-0.2794742,0.23120187,2.7473414,-2.0095072,1.945121,-0.57936823,1.9996511,2.8394594,-2.4546757,-0.84735894,0.2746576,0.15116039,0.7635049,-0.37287793,-1.1206357,2.3105307,0.40049848,-2.4668381,0.08423555,2.5314236,-2.0124736,-0.6067622,1.1259383,-0.2516417,-0.8319915,0.28694957,-0.2556618,0.05066998,0.26537684,-1.7828103,0.6552229,1.6579857,0.54373544,-0.056442197,-0.6046764,0.77751815,0.6742619,-0.39238036,-0.2644249,-0.14946009,0.4667114,-0.8890669,-0.9003412,-0.78819865,0.36221963,0.1445732,0
2.9159944,0.5985994,-3.3392243,-2.6784637,0.8253236,-3.3941138,3.517822,-2.843999,0.9318026,-0.45332137,-0.07027735,-2.1221142,-1.26929,0.21504399,0.31905162,-1.0832267,-0.9336576,0.21391723,-0.3970093,0.03888755,0.40900815,0.96650124,-2.6540854,-0.45584938,0.4740848,-1.0527605,1.2397547,1.5220459,0.8526145,-0.1558203,-0.55542094,-0.47146088,-1.0811186,0.103149734,-0.2822237,0.56113666,2.1447256,-0.61957484,0.6325885,1.1810876,-0.1577265,-0.061578866,-0.3835019,1.7107525,0.20093897,-1.5887331,0.51313704,1.0981019,-0.35819638,-0.43928817,0
1.8752333,-8.302732,-0.98115224,4.5749297,-1.0879422,-0.876539,-1.2129352,1.3984386,0.6465552,0.8530951,-2.989576,1.8818922,-0.52216315,0.9475971,2.448223,-2.0953002,-1.374453,0.91514707,1.2894509,0.62666523,-0.29719543,0.22266938,0.055884767,-3.9677594,0.24342056,0.9509395,-0.7719444,1.5525804,-0.47635785,-0.009316503,0.28345525,-0.2995318,0.8936954,-0.23558424,0.8302563,-1.2750493,-1.4742273,-1.861204,0.3759938,0.117294796,1.8328129,-1.6856244,0.6672031,-0.15916152,-0.66554487,0.8145599,-0.32534492,0.35233322,0.044973917,-0.517618,0
4.5566673,-3.9086711,3.8248942,2.772954,1.0851202,-0.8609483,-2.9594622,3.5271034,-0.44545195,2.4997041,-0.6370011,1.4241697,-1.0847396,1.0490508,-1.7288699,-3.021875,0.28163725,-3.0756958,2.2249615,1.3361927,-1.7543414,0.8554128,0.05161377,-0.22832319,-0.20058432,-1.1344867,-0.31411034,0.46119237,0.5428699,0.019659376,2.4883232,-2.021977,0.36796522,-1.1240698,0.6620205,-1.1288114,2.4620872,0.6242957,1.3537438,1.3761756,-0.21229307,0.9783409,1.0139687,-1.8463978,-0.5355998,0.8388493,-1.8345054,0.09811475,-1.6283077,-0.7075185,0
